source,gene_target,broad,class_name,n_match
mouse1,geneA,all,classA,40
mouse1,geneA,all,classB,40
mouse1,geneB,all,classA,40
mouse1,geneB,all,classB,40
mouse1,geneC,all,classA,40
mouse1,geneC,all,classB,40
mouse2,geneA,all,classA,40
mouse2,geneA,all,classB,40
mouse2,geneB,all,classA,40
mouse2,geneB,all,classB,40
mouse2,geneC,all,classA,40
mouse2,geneC,all,classB,40
mouse3,geneA,all,classA,40
mouse3,geneA,all,classB,40
mouse3,geneB,all,classA,40
mouse3,geneB,all,classB,40
mouse3,geneC,all,classA,40
mouse3,geneC,all,classB,40
mouse4,geneA,all,classA,40
mouse4,geneA,all,classB,40
mouse4,geneB,all,classA,40
mouse4,geneB,all,classB,40
mouse4,geneC,all,classA,40
mouse4,geneC,all,classB,40
mouse5,geneA,all,classA,40
mouse5,geneA,all,classB,40
mouse5,geneB,all,classA,40
mouse5,geneB,all,classB,40
mouse5,geneC,all,classA,40
mouse5,geneC,all,classB,40
mouse6,geneA,all,classA,40
mouse6,geneA,all,classB,40
mouse6,geneB,all,classA,40
mouse6,geneB,all,classB,40
mouse6,geneC,all,classA,40
mouse6,geneC,all,classB,40
mouse7,geneA,all,classA,40
mouse7,geneA,all,classB,40
mouse7,geneB,all,classA,40
mouse7,geneB,all,classB,40
mouse7,geneC,all,classA,40
mouse7,geneC,all,classB,40
mouse8,geneA,all,classA,40
mouse8,geneA,all,classB,40
mouse8,geneB,all,classA,40
mouse8,geneB,all,classB,40
mouse8,geneC,all,classA,40
mouse8,geneC,all,classB,40
